speaker_id,n_files,total_dur_s,f0_mean,f0_median,f0_p05,f0_p95,voiced_ratio,speech_ratio,n_segments_per_sec,mean_segment_dur,rms_energy,tempo_like,sex,subset,f0_bucket
19,111,1511.1950000000002,249.41510957447255,221.06869701488398,158.7305584415603,441.50595020292513,0.5366282733784733,0.8129513398337075,0.3295405291838578,2.6648852151012417,0.05477054054903611,5.99856405030456,F,train-clean-100,180-260
26,118,1504.8050000000005,111.23580667802285,102.91065977307535,67.28218216766729,185.85158482672418,0.3989043032476884,0.8536694123158811,0.6107103578204482,1.4742112248822046,0.04325680683695103,6.275231674535902,M,train-clean-100,<120
27,138,1208.3400625,111.23837713602708,108.76700000820081,66.74573351601198,157.60008044649643,0.4996228680590358,0.8538978653618877,0.43530792061278695,2.1367630559722426,0.024764525733519394,6.8871340595810135,M,train-clean-100,<120
32,117,1440.6000000000001,204.9448239595405,199.67334403142834,130.3479517480968,293.7467697198898,0.6170115809551564,0.833561710398445,0.44981257809246145,1.9969278421358823,0.04585946275785823,6.749965292239344,F,train-clean-100,180-260
39,123,1503.2649375,212.51090617542877,207.19373901360697,142.9771019957526,288.112361721108,0.7361004337423097,0.9317026992788487,0.33726589861343054,3.38408691320614,0.03407350026475834,6.879026937991095,F,train-clean-100,180-260
40,114,1502.2000625,205.21252585999756,199.95136240976555,125.32687552296922,295.24867494779545,0.7282179061506244,0.8437351116805721,0.631074397921615,1.4597341127206493,0.04161785845268777,6.503128473941199,F,train-clean-100,180-260
60,97,1210.6000625,93.13929595116025,90.61976088459465,60.44106238209297,135.47507497833405,0.650477785597684,0.7428910900126441,0.5460102146657538,1.4175270385075653,0.026425760907497195,5.369238116985477,M,train-clean-100,<120
78,118,1503.284875,84.14079775549182,84.45902449542078,60.356308767122,116.33786192881078,0.8508067636584535,0.6985994587353244,0.5853847229055636,1.282776667588749,0.03890987578874022,5.450730022145669,M,train-clean-100,<120
83,123,1502.6500625,249.47738984756035,241.9574457048132,147.3333830622965,372.6150831794075,0.6728524951467452,0.7992472964742583,0.5410441328218425,1.6675437061830072,0.036700624723106694,6.284230930180392,F,train-clean-100,180-260
87,108,1506.2850624999999,226.7303129751569,223.61894421438168,173.9636210394068,290.91799594988953,0.7683185848724138,0.849252264293765,0.3970032066888402,2.3027043629636434,0.04995313377455394,6.330806988268863,F,train-clean-100,180-260
89,123,1504.745,196.66471996047125,185.0497770844557,111.71685202604388,310.8054446524246,0.7261834481024906,0.8856284619653164,0.40206147885522137,2.524188248649629,0.05896017269110201,7.183941465165194,F,train-clean-100,180-260
103,102,1423.1250000000002,183.87803154336308,195.62300028594967,69.53845059509331,283.8126555344609,0.6131997871208464,0.9451032059727711,0.27053140096618356,8.625387494953602,0.022295695767722792,6.851822573561703,F,train-clean-100,180-260
118,137,1503.215125,132.56529113800678,132.2302438491466,87.44843991426372,169.70356737004286,0.601695773158025,0.7739890190367796,0.49560437997854767,1.729681502709294,0.048949967172374535,6.2333060944952905,M,train-clean-100,120-180
125,138,1510.97,201.68120141638528,206.2757771319792,87.64933464706968,303.1271292208973,0.6829750267413127,0.8293467110531645,0.4811478718968609,1.8503264438206084,0.03030431414820395,6.425011747420531,F,train-clean-100,180-260
150,114,1507.8200625,239.20348920606244,233.40826883219304,155.2507010652042,355.93527423304675,0.33089143326256437,0.9744584907988648,0.14656921306218526,11.311520606146138,0.04221052153607243,6.301149743456209,F,train-clean-100,180-260
163,112,1503.685,96.13916672337254,94.49311321579422,59.996476299002374,151.1736430117105,0.8150870946370401,0.8208953337966397,0.44756714338441894,3.6285365837555905,0.023839070670623987,5.894186614882772,M,train-clean-100,<120
196,108,1514.5249999999999,123.87319003686767,118.38916355978093,86.68428856893469,181.2907185592422,0.6790134251490028,0.808380185206583,0.5183143229725492,1.6873009881662262,0.03536932666366128,6.178834948251103,M,train-clean-100,<120
198,126,1501.0550624999996,230.13431905154673,217.60442116823128,154.07424756497235,337.17979532827155,0.7192132588675406,0.9559589357169235,0.22517495090224252,9.309607416617467,0.056048057014886604,7.046377087849169,F,train-clean-100,180-260
200,116,1508.14,219.0126283393595,213.25999159169584,136.00485661700614,316.6740191847708,0.6390120298376168,0.786524460593844,0.5443791690426618,1.5566926932356513,0.018497457387206324,6.49674433408039,F,train-clean-100,180-260
201,127,1511.2998750000002,117.58198241452739,117.33031022970452,72.81514056941677,159.64281189210175,0.7234591072909842,0.9017581636470393,0.5220671377346603,1.9265865900311834,0.04626201409885147,7.174618472062005,M,train-clean-100,<120
211,166,1513.1949375,237.8432752306113,227.9234457289392,178.64556890432544,337.89186274267,0.6347294304014881,0.9997488757128492,0.11168422244341536,11.38592085314448,0.03996779877629245,6.892700828904274,F,train-clean-100,180-260
226,107,1512.5749375,200.90779836424971,207.36633892685538,100.89845481429163,285.9236826137079,0.6285918204075869,0.9947632346645304,0.0932185219418261,13.712159044035308,0.031005647990847797,6.831397072516944,F,train-clean-100,180-260
229,94,1173.6050000000002,159.52881955330196,142.88079261591486,95.80735864338226,298.9160761507335,0.5077448199004774,0.7602719824813288,0.616902620558024,1.3241950772437954,0.040753949362154714,6.298541672879716,M,train-clean-100,120-180
233,110,1483.2800000000002,139.25163314053162,135.68975411557332,86.1399346722452,232.47566552521923,0.7175494163354854,0.9274196375600022,0.25214389730866726,8.845572933462348,0.03196648504379472,6.24898872768459,M,train-clean-100,120-180
